Suburb	PostCode	State	BSPname
SANDOVER	0872	NT	SA CITY SUBS
SANTA TERESA	0872	NT	SA CITY SUBS
SIMPSON	0872	NT	SA CITY SUBS
TANAMI	0872	NT	SA CITY SUBS
TARA	0872	NT	SA CITY SUBS
THANGKENHARENGE	0872	NT	SA CITY SUBS
TI TREE	0872	NT	SA CITY SUBS
TITJIKALA	0872	NT	SA CITY SUBS
TJIRRKARLI	0872	WA	SA CITY SUBS
TJUKURLA	0872	WA	SA CITY SUBS
ULURU	0872	NT	SA CITY SUBS
UMPANGARA	0872	NT	SA CITY SUBS
URAPUNTJA	0872	NT	SA CITY SUBS
WALLACE ROCKHOLE	0872	NT	SA CITY SUBS
WANNAN	0872	WA	SA CITY SUBS
WILLOWRA	0872	NT	SA CITY SUBS
WILORA	0872	NT	SA CITY SUBS
WINGELLINA	0872	WA	SA CITY SUBS
WUTUNUGURRA	0872	NT	SA CITY SUBS
YUELAMU	0872	NT	SA CITY SUBS
YUENDUMU	0872	NT	SA CITY SUBS
YULARA	0872	NT	SA CITY SUBS
HEAVITREE GAP CPA	0873	NT	SA CITY SUBS
GAPUWIYAK	0880	NT	DARWIN
GOVE	0880	NT	DARWIN
GUNYANGARA	0880	NT	DARWIN
NHULUNBUY	0880	NT	DARWIN
YIRRKALA	0880	NT	DARWIN
NHULUNBUY	0881	NT	DARWIN
ALYANGULA	0885	NT	DARWIN
JABIRU	0886	NT	DARWIN
WINNELLIE	0906	NT	DARWIN
WINNELLIE	0907	NT	DARWIN
CHARLES DARWIN UNIVERSITY	0909	NT	DARWIN
SYDNEY	1001	NSW	SYDNEY BOXES
SYDNEY	1002	NSW	SYDNEY BOXES
SYDNEY	1003	NSW	SYDNEY BOXES
SYDNEY	1004	NSW	SYDNEY BOXES
SYDNEY	1005	NSW	SYDNEY BOXES
SYDNEY	1006	NSW	SYDNEY BOXES
SYDNEY	1007	NSW	SYDNEY BOXES
SYDNEY	1008	NSW	SYDNEY BOXES
SYDNEY	1009	NSW	SYDNEY BOXES
SYDNEY	1010	NSW	SYDNEY BOXES
SYDNEY	1011	NSW	SYDNEY BOXES
SYDNEY	1020	NSW	SYDNEY BOXES
SYDNEY	1021	NSW	SYDNEY BOXES
SYDNEY	1022	NSW	SYDNEY BOXES
SYDNEY	1023	NSW	SYDNEY BOXES
SYDNEY	1025	NSW	SYDNEY BOXES
SYDNEY	1026	NSW	SYDNEY BOXES
SYDNEY	1027	NSW	SYDNEY BOXES
SYDNEY	1028	NSW	SYDNEY BOXES
SYDNEY	1029	NSW	SYDNEY BOXES
SYDNEY	1030	NSW	SYDNEY BOXES
SYDNEY	1031	NSW	SYDNEY BOXES
SYDNEY	1032	NSW	SYDNEY BOXES
SYDNEY	1033	NSW	SYDNEY BOXES
SYDNEY	1034	NSW	SYDNEY BOXES
SYDNEY	1035	NSW	SYDNEY BOXES
SYDNEY	1036	NSW	SYDNEY BOXES
SYDNEY	1037	NSW	SYDNEY BOXES
SYDNEY	1038	NSW	SYDNEY BOXES
SYDNEY	1039	NSW	SYDNEY BOXES
